City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Blackwater,-23.5833,148.8833,71.98,81,100,12.3,AU,light rain
1,Channel-Port Aux Basques,47.5702,-59.1367,42.37,95,100,32.61,CA,light rain
2,Ushuaia,-54.8,-68.3,39.2,81,75,19.57,AR,light snow
3,Kununurra,-15.7667,128.7333,91.4,43,4,10.36,AU,clear sky
4,Rundu,-17.9333,19.7667,64.54,60,2,3.91,NA,clear sky
5,Jamestown,42.097,-79.2353,46.4,46,1,5.75,US,clear sky
6,Cabo San Lucas,22.8909,-109.9124,86.0,21,1,17.27,MX,clear sky
7,East London,-33.0153,27.9116,67.87,73,83,13.87,ZA,broken clouds
8,Qaanaaq,77.484,-69.3632,-12.1,56,11,9.22,GL,few clouds
9,Emerald,-23.5333,148.1667,71.6,94,75,8.05,AU,light rain
10,Khatanga,71.9667,102.5,-2.65,82,10,14.32,RU,clear sky
11,Monkey Bay,-14.0728,34.9201,73.06,80,34,13.38,MW,scattered clouds
12,Rikitea,-23.1203,-134.9692,77.99,65,0,18.79,PF,clear sky
13,Teluk Nibung,3.001,99.8164,81.43,80,95,3.51,ID,overcast clouds
14,Bluff,-46.6,168.3333,57.99,57,100,23.0,NZ,overcast clouds
15,Busselton,-33.65,115.3333,70.0,79,0,4.0,AU,clear sky
16,Kapaa,22.0752,-159.319,77.0,57,90,17.27,US,overcast clouds
17,Clyde River,70.4692,-68.5914,-13.0,77,75,9.22,CA,broken clouds
18,Puri,19.8,85.85,81.1,78,0,5.59,IN,clear sky
19,Hermanus,-34.4187,19.2345,64.0,91,100,1.99,ZA,overcast clouds
20,Carutapera,-1.195,-46.02,75.52,95,100,5.91,BR,overcast clouds
21,Vardo,70.3705,31.1107,35.6,87,80,12.75,NO,broken clouds
22,Narsaq,60.9167,-46.05,37.4,87,90,2.3,GL,overcast clouds
23,Cape Town,-33.9258,18.4232,64.0,94,0,11.5,ZA,clear sky
24,Lorengau,-2.0226,147.2712,81.43,78,100,4.56,PG,overcast clouds
25,Mataura,-46.1927,168.8643,57.99,57,100,23.0,NZ,overcast clouds
26,Kamuli,0.9472,33.1197,64.51,97,100,3.33,UG,light rain
27,Baherden,38.4362,57.4316,53.6,50,0,6.78,TM,clear sky
28,New Norfolk,-42.7826,147.0587,68.0,53,70,4.0,AU,broken clouds
29,Sarkand,45.41,79.9186,45.25,54,100,3.67,KZ,overcast clouds
30,Atuona,-9.8,-139.0333,80.11,79,76,8.12,PF,light rain
31,Escarcega,18.6089,-90.7454,73.89,69,100,3.56,MX,overcast clouds
32,Duku,11.2361,4.9073,81.03,12,36,4.92,NG,scattered clouds
33,Samut Sakhon,13.5833,100.3,82.99,73,100,7.2,TH,overcast clouds
34,Albany,42.6001,-73.9662,51.8,37,75,9.22,US,broken clouds
35,Tobane,-21.95,27.9,60.31,90,0,2.46,BW,clear sky
36,Vaini,-21.2,-175.2,77.0,69,20,11.5,TO,few clouds
37,Lae,-6.7221,146.9847,85.89,64,58,6.55,PG,broken clouds
38,Murgab,37.4966,61.9714,48.2,66,0,6.91,TM,clear sky
39,Torbay,47.6666,-52.7314,37.99,100,90,12.66,CA,fog
40,Mount Gambier,-37.8333,140.7667,66.2,48,1,11.5,AU,clear sky
41,Port Alfred,-33.5906,26.891,68.49,81,100,12.28,ZA,overcast clouds
42,Barrow,71.2906,-156.7887,-0.4,65,1,14.97,US,clear sky
43,Hami,42.8,93.45,54.77,30,53,11.41,CN,broken clouds
44,Los Llanos De Aridane,28.6585,-17.9182,66.2,63,90,4.61,ES,overcast clouds
45,Dikson,73.5069,80.5464,8.64,92,100,6.44,RU,overcast clouds
46,Fortuna,40.5982,-124.1573,53.01,87,90,8.05,US,overcast clouds
47,Castro,-24.7911,-50.0119,57.07,98,83,7.67,BR,broken clouds
48,Ribeira Grande,38.5167,-28.7,61.34,78,95,15.1,PT,overcast clouds
49,Port Elizabeth,-33.918,25.5701,66.2,88,75,14.97,ZA,light rain
50,Lata,40.1629,-8.3327,55.0,93,40,2.3,PT,mist
51,Airai,-8.9266,125.4092,64.72,88,100,3.96,TL,overcast clouds
52,Bialong,6.9806,124.8889,87.46,62,99,1.79,PH,overcast clouds
53,Port Hardy,50.6996,-127.4199,44.6,57,20,18.41,CA,few clouds
54,Flinders,-34.5833,150.8552,82.0,78,75,11.5,AU,broken clouds
55,Lavrentiya,65.5833,-171.0,5.02,74,17,2.53,RU,few clouds
56,Ghazipur,25.5833,83.5667,74.48,8,26,2.57,IN,scattered clouds
57,Tura,25.5198,90.2201,82.22,22,0,3.98,IN,clear sky
58,Severo-Kurilsk,50.6789,156.125,29.71,81,100,14.09,RU,overcast clouds
59,Cherskiy,68.75,161.3,0.91,85,46,2.24,RU,scattered clouds
60,Yarmouth,41.7057,-70.2286,51.8,35,1,8.05,US,clear sky
61,Catuday,16.2923,119.8062,82.0,65,20,4.52,PH,few clouds
62,Tuktoyaktuk,69.4541,-133.0374,8.6,85,90,20.71,CA,snow
63,Waiouru,-39.4833,175.6667,62.8,61,100,9.33,NZ,overcast clouds
64,Cordele,31.9635,-83.7824,57.99,58,1,4.34,US,clear sky
65,Ballina,-28.8667,153.5667,71.6,94,75,10.36,AU,broken clouds
66,Carnarvon,-24.8667,113.6333,80.6,69,76,19.57,AU,broken clouds
67,Nizhniy Baskunchak,48.2198,46.8311,39.58,95,100,12.68,RU,overcast clouds
68,Basco,20.4487,121.9702,75.88,78,96,27.09,PH,overcast clouds
69,Atar,20.5169,-13.0499,78.85,12,54,9.04,MR,broken clouds
70,Nioro,13.35,-15.75,76.95,50,93,6.55,GM,overcast clouds
71,Arraial Do Cabo,-22.9661,-42.0278,75.87,73,95,12.86,BR,overcast clouds
72,Abasolo,20.45,-101.5167,78.8,11,75,8.05,MX,broken clouds
73,Nome,64.5011,-165.4064,3.99,71,1,23.02,US,clear sky
74,Punta Arenas,-53.15,-70.9167,41.0,70,0,14.97,CL,clear sky
75,Tasiilaq,65.6145,-37.6368,19.4,86,90,17.27,GL,light snow
76,Tazovskiy,67.4667,78.7,31.86,93,100,11.39,RU,overcast clouds
77,Wawa,9.9022,4.4192,81.18,21,15,4.83,NG,few clouds
78,Zhuhai,22.2769,113.5678,73.4,88,40,14.97,CN,scattered clouds
79,Sao Joao Da Barra,-21.6403,-41.0511,72.72,83,97,8.46,BR,overcast clouds
80,Hilo,19.7297,-155.09,73.4,78,90,8.37,US,light rain
81,Hambantota,6.1241,81.1185,73.4,100,20,3.44,LK,few clouds
82,Camacha,33.0833,-16.3333,57.2,82,20,1.01,PT,few clouds
83,Bathsheba,13.2167,-59.5167,78.8,65,40,13.8,BB,scattered clouds
84,Udachnyy,66.4167,112.4,-4.79,90,94,7.2,RU,overcast clouds
85,Butaritari,3.0707,172.7902,82.49,78,90,14.61,KI,light rain
86,Pemangkat,1.1667,108.9667,82.35,73,37,5.97,ID,scattered clouds
87,Broken Hill,-31.95,141.4333,75.2,43,0,13.8,AU,clear sky
88,Atasu,48.6814,71.6433,37.81,94,80,21.18,KZ,broken clouds
89,Leuchars,56.3817,-2.8825,33.8,55,0,11.5,GB,light snow
90,Nampula,-15.1165,39.2666,71.6,100,75,8.05,MZ,broken clouds
91,Tiksi,71.6872,128.8694,-8.05,97,89,3.09,RU,overcast clouds
92,Vila Do Maio,15.1333,-23.2167,77.0,33,0,18.41,CV,clear sky
93,Chokurdakh,70.6333,147.9167,-10.26,89,6,4.18,RU,clear sky
94,Teeli,51.0333,90.2333,37.69,27,0,1.63,RU,clear sky
95,Sibolga,1.7427,98.7792,81.3,76,100,0.25,ID,overcast clouds
96,Hobyo,5.3505,48.5268,81.45,70,71,8.1,SO,broken clouds
97,Saint Anthony,45.0205,-93.218,71.6,26,1,3.51,US,clear sky
98,Preobrazheniye,42.9019,133.9064,44.96,39,0,5.86,RU,clear sky
99,Dingle,10.9995,122.6711,86.29,55,100,11.52,PH,overcast clouds
100,Pevek,69.7008,170.3133,-5.39,90,98,6.2,RU,overcast clouds
101,Juterbog,51.9833,13.0833,36.0,89,89,3.0,DE,overcast clouds
102,Cayenne,4.9333,-52.3333,79.0,94,75,3.44,GF,light rain
103,Hokitika,-42.7167,170.9667,64.96,75,38,10.98,NZ,scattered clouds
104,Mogzon,51.7435,111.9606,32.79,49,17,14.23,RU,few clouds
105,Henties Bay,-22.116,14.2845,64.99,84,44,3.0,NA,scattered clouds
106,Sibu,2.3,111.8167,78.8,94,40,3.09,MY,scattered clouds
107,Avarua,-21.2078,-159.775,82.4,83,20,13.8,CK,light rain
108,Kaitangata,-46.2817,169.8464,59.0,55,90,20.0,NZ,overcast clouds
109,Upernavik,72.7868,-56.1549,-14.82,94,60,7.78,GL,broken clouds
110,Kabalo,-6.05,26.9167,68.23,98,100,2.66,CD,moderate rain
111,Gudari,19.35,83.7833,82.24,68,0,1.07,IN,clear sky
112,Huarmey,-10.0681,-78.1522,72.39,78,8,6.64,PE,clear sky
113,Muravlenko,63.7898,74.523,32.4,99,100,12.91,RU,light snow
114,Gimli,50.6336,-96.9907,39.2,60,100,9.22,CA,overcast clouds
115,Vung Tau,10.346,107.0843,82.36,69,83,15.12,VN,broken clouds
116,Havelock,34.8791,-76.9013,61.0,76,1,8.05,US,clear sky
117,Anqing,30.5092,117.0506,55.81,38,97,10.22,CN,overcast clouds
118,Bambous Virieux,-20.3428,57.7575,80.01,77,36,5.01,MU,scattered clouds
119,Cidreira,-30.1811,-50.2056,72.77,76,4,18.43,BR,clear sky
120,Georgetown,5.4112,100.3354,84.99,89,20,4.61,MY,few clouds
121,Inhambane,-23.865,35.3833,66.97,81,0,5.93,MZ,clear sky
122,Tuatapere,-46.1333,167.6833,57.99,57,93,21.99,NZ,overcast clouds
123,Ixtapa,20.7,-105.2,77.0,83,1,5.75,MX,clear sky
124,Kamenka,51.3223,42.7678,34.0,91,29,6.11,RU,scattered clouds
125,Nikolskoye,59.7035,30.7861,37.99,75,0,6.71,RU,clear sky
126,Puerto Ayora,-0.7393,-90.3518,77.0,95,34,3.62,EC,scattered clouds
127,Bethel,41.3712,-73.414,53.6,35,1,7.09,US,clear sky
128,Jishu,44.3167,126.8,54.75,20,0,15.5,CN,clear sky
129,Siloam Springs,36.1881,-94.5405,64.4,72,75,9.22,US,broken clouds
130,Talnakh,69.4865,88.3972,7.45,72,100,11.86,RU,overcast clouds
131,Lensk,60.7253,114.9278,7.18,73,95,6.13,RU,overcast clouds
132,Husavik,66.0449,-17.3389,17.6,62,90,11.5,IS,overcast clouds
133,Bima,-8.4667,118.7167,80.96,82,100,7.23,ID,overcast clouds
134,Saskylakh,71.9167,114.0833,-9.76,90,5,5.1,RU,clear sky
135,Caravelas,-17.7125,-39.2481,76.39,78,9,7.0,BR,clear sky
136,Saldanha,-33.0117,17.9442,60.8,88,13,5.75,ZA,few clouds
137,Dmitrov,56.35,37.5167,33.8,75,0,11.18,RU,light snow
138,Aklavik,68.2191,-135.0107,19.4,73,73,6.91,CA,broken clouds
139,Selkirk,50.1436,-96.8845,53.6,24,100,2.3,CA,overcast clouds
140,Souillac,-20.5167,57.5167,80.01,77,18,5.01,MU,few clouds
141,Laguna,38.421,-121.4238,69.01,42,1,6.91,US,clear sky
142,Chivolo,10.025,-74.6228,77.18,77,100,7.09,CO,overcast clouds
143,Svetlopolyansk,59.4184,52.3605,15.42,98,50,3.27,RU,scattered clouds
144,Kenai,60.5544,-151.2583,39.2,69,1,31.07,US,clear sky
145,Tomatlan,19.9333,-105.25,71.56,73,60,2.89,MX,broken clouds
146,Port Hedland,-20.3167,118.5667,93.2,22,67,6.91,AU,broken clouds
147,Karratha,-20.7377,116.8463,92.35,26,44,5.64,AU,scattered clouds
148,Ngunguru,-35.6167,174.5,73.99,61,41,5.99,NZ,scattered clouds
149,Bredasdorp,-34.5322,20.0403,62.6,94,100,8.05,ZA,light rain
150,Porto Novo,6.4965,2.6036,81.12,84,18,8.66,BJ,few clouds
151,Haines Junction,60.7522,-137.5108,41.0,45,100,8.05,CA,overcast clouds
152,Aksu,41.1231,80.2644,45.39,46,100,4.23,CN,overcast clouds
153,Coquimbo,-29.9533,-71.3436,60.8,67,0,3.44,CL,clear sky
154,Paracuru,-3.41,-39.0306,82.99,75,99,18.01,BR,overcast clouds
155,Bolshoy Lug,52.0779,104.0919,35.6,100,90,2.24,RU,overcast clouds
156,Contamana,-7.3333,-75.0167,69.06,98,100,1.48,PE,overcast clouds
157,Terrace Bay,48.7834,-87.1,42.8,45,100,4.61,CA,overcast clouds
158,Mount Pleasant,32.7941,-79.8626,57.99,67,75,9.57,US,broken clouds
159,Saint-Philippe,-21.3585,55.7679,77.0,69,0,5.75,RE,clear sky
160,Bintulu,3.1667,113.0333,80.6,89,20,3.44,MY,few clouds
161,Hobart,-42.8794,147.3294,68.0,48,40,6.91,AU,scattered clouds
162,Jenbach,47.4013,11.7406,34.0,60,2,4.97,AT,clear sky
163,Narasannapeta,18.4167,84.05,81.7,76,1,2.59,IN,clear sky
164,Cooma,-36.2333,149.1333,69.8,56,0,9.22,AU,clear sky
165,Hasaki,35.7333,140.8333,55.4,100,75,18.41,JP,mist
166,Bay Roberts,47.5999,-53.2648,39.99,95,96,4.0,CA,overcast clouds
167,Ponta Do Sol,32.6667,-17.1,55.99,64,83,4.0,PT,broken clouds
168,Fare,-16.7,-151.0167,81.77,76,11,14.97,PF,few clouds
169,Constitucion,-35.3333,-72.4167,56.8,85,94,7.99,CL,overcast clouds
170,Novoaleksandrovsk,45.4948,41.2207,49.55,87,100,5.84,RU,light rain
171,Attur,11.6,78.6167,81.66,72,2,2.77,IN,clear sky
172,Gorontalo,0.5412,123.0595,89.19,56,99,5.32,ID,overcast clouds
173,Schwabisch Hall,49.1113,9.7391,37.4,70,5,4.61,DE,clear sky
174,Nanortalik,60.1432,-45.2371,33.6,89,45,5.91,GL,scattered clouds
175,Gambissara,13.2382,-14.3108,79.2,40,95,7.67,SN,overcast clouds
176,Arman,59.7,150.1667,21.36,50,100,4.41,RU,overcast clouds
177,Praya,14.9215,-23.5087,77.0,33,0,18.41,CV,clear sky
178,Bairiki,1.3292,172.9752,84.2,79,75,10.36,KI,light rain
179,Ordzhonikidze,52.4411,61.7408,34.29,99,100,14.63,KZ,overcast clouds
180,Kutum,14.2,24.6667,65.86,13,41,7.54,SD,scattered clouds
181,Dunedin,-45.8742,170.5036,60.01,67,71,28.99,NZ,broken clouds
182,Idil,37.3411,41.8895,47.16,68,1,2.55,TR,clear sky
183,Thompson,55.7435,-97.8558,41.0,36,90,3.44,CA,overcast clouds
184,Salym,60.0625,71.4789,31.87,91,48,8.19,RU,scattered clouds
185,Namatanai,-3.6667,152.4333,84.18,70,82,1.12,PG,light rain
186,Hay River,60.8156,-115.7999,21.2,58,82,3.44,CA,broken clouds
187,Guanica,17.9716,-66.908,78.01,76,29,3.6,PR,scattered clouds
188,Salyan,39.5936,48.9805,49.73,85,0,8.21,AZ,clear sky
189,Yenagoa,4.9247,6.2642,77.45,91,13,3.65,NG,few clouds
190,Dickinson,29.4608,-95.0513,66.99,77,40,10.36,US,scattered clouds
191,Salaga,8.5508,-0.5188,85.78,51,87,8.5,GH,overcast clouds
192,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,52,75,2.24,RU,broken clouds
193,Kadiri,14.1167,78.1667,81.32,50,27,3.2,IN,scattered clouds
194,Kavaratti,10.5669,72.642,82.27,68,100,11.95,IN,overcast clouds
195,Ilulissat,69.2167,-51.1,17.6,73,75,11.5,GL,broken clouds
196,Grosse Pointe Farms,42.4092,-82.8919,55.99,35,1,4.61,US,clear sky
197,Big Rapids,43.6981,-85.4837,57.99,33,1,4.61,US,clear sky
198,Avdon,54.6667,55.7167,33.8,86,90,11.18,RU,overcast clouds
199,Mahebourg,-20.4081,57.7,80.01,77,39,5.01,MU,scattered clouds
200,Tommot,58.9564,126.2925,16.95,78,100,5.23,RU,overcast clouds
201,San Jeronimo,-11.9472,-75.2829,51.13,85,100,2.98,PE,overcast clouds
202,Inyonga,-6.7167,32.0667,62.2,97,83,4.38,TZ,broken clouds
203,Garissa,-0.4536,39.6401,78.66,81,100,6.93,KE,moderate rain
204,Kalabo,-14.97,22.6814,62.58,69,6,6.04,ZM,clear sky
205,Manokwari,-0.8667,134.0833,82.58,75,100,1.86,ID,overcast clouds
206,Beloha,-25.1667,45.05,65.34,87,0,7.67,MG,clear sky
207,Bud,39.447,-86.1758,62.01,55,100,7.0,US,overcast clouds
208,Kulhudhuffushi,6.6221,73.07,82.76,70,41,11.05,MV,scattered clouds
209,Wangqing,43.3218,129.7634,51.24,25,0,6.4,CN,clear sky
210,Huanren,41.2647,125.3667,53.28,30,3,4.83,CN,clear sky
211,Necochea,-38.5473,-58.7368,62.01,80,0,5.99,AR,clear sky
212,Pangani,-5.4333,38.9667,75.25,88,94,8.14,TZ,overcast clouds
213,Vostok,46.4856,135.8833,42.04,38,8,7.29,RU,clear sky
214,Ancud,-41.8697,-73.8203,57.0,90,100,14.0,CL,overcast clouds
215,Maua,-23.6678,-46.4614,66.2,77,75,9.22,BR,broken clouds
216,Kruisfontein,-34.0033,24.7314,66.0,81,100,1.99,ZA,light rain
217,Lazaro Cardenas,17.9583,-102.2,76.62,68,74,5.91,MX,broken clouds
218,Mar Del Plata,-38.0023,-57.5575,68.0,94,90,6.91,AR,overcast clouds
219,Samarai,-10.6167,150.6667,84.96,72,93,11.23,PG,overcast clouds
220,Bermeo,43.4209,-2.7215,42.01,87,0,4.61,ES,clear sky
221,Coolum Beach,-26.5333,153.1,72.0,100,100,3.0,AU,overcast clouds
222,Forbes,-33.3833,148.0167,81.21,33,0,6.31,AU,clear sky
223,Mount Isa,-20.7333,139.5,84.2,51,75,10.36,AU,broken clouds
224,Itarema,-2.9248,-39.9167,77.23,89,61,10.02,BR,broken clouds
225,Iskateley,67.6803,53.1512,14.38,93,60,10.04,RU,broken clouds
226,Muros,42.7762,-9.0603,52.0,67,0,1.99,ES,clear sky
227,Prainha,-1.8,-53.48,74.08,96,59,3.18,BR,broken clouds
228,Troy,42.6056,-83.1499,57.2,33,1,4.61,US,clear sky
229,Juegang,32.3174,121.1855,57.0,50,6,1.99,CN,clear sky
